area,population,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021,1/20/2021,1/21/2021,1/22/2021,1/23/2021,1/24/2021,1/25/2021,1/26/2021,1/27/2021,1/28/2021,1/29/2021,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/3/2021,2/4/2021,2/5/2021,2/6/2021,2/7/2021,2/8/2021,2/9/2021,2/10/2021,2/11/2021,2/12/2021,2/13/2021,2/14/2021,2/15/2021,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021
Sierra,3115,0,0,0,0,1,0,1,0,0,2,1,1,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Siskiyou,43956,16,14,11,33,17,12,12,5,3,4,6,9,10,6,12,4,5,7,12,8,6,3,4,10,7,8,14,6,7,1,3,10,7,7,11,9,7,3,7,3,8,5,15,4,3,4,8,4,6,5,4,3,6,6,5,7,4,0,2,8,4,4,2,6,4,2,3,1,4,2,3,0,1,4,0,4,1,3,0,0,0,1,5,2,2,0,0,0,1,1
Solano,444255,229,212,196,532,503,406,385,392,171,156,401,321,303,284,261,150,108,230,279,246,194,180,89,93,189,168,156,177,160,86,83,130,105,96,122,103,50,36,110,63,77,75,52,32,37,38,55,40,57,27,31,15,57,39,40,39,32,34,28,56,43,33,36,27,17,29,37,40,36,30,28,19,17,32,29,34,26,42,30,30,40,40,41,37,61,25,28,37,39,30
Sonoma,496668,116,190,166,392,344,365,305,263,140,121,273,246,306,250,243,131,88,170,271,179,135,135,75,74,184,111,123,98,92,61,49,102,88,118,84,82,69,36,107,91,89,92,83,54,46,77,85,62,74,68,48,29,66,45,43,64,54,29,44,63,48,55,39,55,26,23,49,44,50,35,29,27,20,34,18,32,24,22,21,15,29,29,37,20,35,16,15,36,23,32
Stanislaus,562303,299,277,317,689,564,543,597,427,296,295,565,491,450,402,325,242,189,318,358,351,288,303,155,164,311,246,185,186,217,148,129,286,259,220,175,163,142,98,190,153,161,115,144,85,69,107,125,121,109,98,61,55,126,105,78,70,90,56,55,91,75,87,78,89,51,69,132,80,95,89,85,58,51,121,78,80,74,72,58,55,90,84,100,76,67,68,64,88,84,78
Sutter,105747,30,57,54,97,98,98,82,60,50,36,61,59,63,46,59,47,32,64,57,51,52,34,25,18,69,44,43,43,48,19,16,45,40,23,25,20,20,8,28,19,17,17,14,14,12,23,15,23,10,8,10,6,18,8,13,10,14,9,5,15,12,9,9,12,7,6,10,3,13,11,6,6,7,16,6,8,10,12,2,8,13,13,8,16,9,3,8,9,7,4
Tehama,65885,32,59,25,58,74,57,28,24,23,30,73,64,36,50,29,21,14,30,44,35,25,35,19,19,39,27,31,25,19,13,14,20,24,13,22,16,8,7,14,15,7,8,6,8,9,8,11,9,4,3,2,1,12,9,4,4,4,2,3,7,4,2,3,6,9,0,10,3,8,10,9,4,2,12,10,4,6,6,8,5,4,8,11,6,2,1,6,10,8,9
Trinity,13354,1,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,1,1,0,3,2,0,3,0,0,1,0,1,4,0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,2,0,0
Tulare,484423,168,404,316,562,558,621,558,400,270,252,419,412,459,408,383,244,179,290,288,278,255,211,178,153,218,215,202,188,157,106,134,167,144,156,168,126,76,68,122,107,133,116,93,78,46,80,73,66,63,61,47,36,68,62,79,55,50,35,37,62,38,61,51,45,29,32,58,40,26,48,37,25,26,33,30,47,20,19,23,15,16,15,27,10,26,15,16,29,27,14
Tuolumne,52351,9,16,14,61,25,24,20,20,9,8,34,11,34,14,21,16,7,17,23,27,14,10,29,7,10,9,10,10,14,10,4,39,8,12,11,40,26,7,24,8,20,8,37,2,1,1,10,2,9,37,7,5,14,4,4,3,3,1,3,5,3,4,2,6,2,2,1,1,2,1,2,1,3,2,2,3,3,0,3,3,2,3,3,1,1,1,3,2,2,5
Ventura,852747,510,1493,1151,1825,1501,1247,1245,1161,866,829,1269,1137,973,1013,872,744,552,844,430,678,956,692,507,447,714,643,532,474,513,424,313,595,406,418,336,332,245,180,309,257,250,227,201,168,138,175,156,145,125,132,80,96,148,128,116,108,105,100,72,111,82,91,83,87,67,55,98,71,70,77,50,43,49,53,54,67,55,57,38,37,64,48,61,52,41,34,27,51,41,44
Yolo,223612,85,110,95,158,197,176,162,138,89,71,152,210,135,101,110,56,49,99,131,83,71,91,34,42,85,86,45,47,42,38,14,61,44,45,24,34,19,23,45,32,42,24,23,20,12,29,37,31,17,27,16,14,31,27,29,13,17,7,12,22,17,17,13,20,12,6,19,23,11,23,17,10,8,22,19,15,16,13,8,4,21,12,11,11,6,7,5,18,18,12
Yuba,79290,41,54,37,54,58,58,49,42,42,28,52,38,41,42,32,21,31,50,28,34,27,31,24,12,40,24,25,16,16,16,10,20,14,18,18,26,17,10,15,16,9,18,14,8,8,10,17,7,9,17,10,3,8,3,13,11,7,5,3,10,12,8,13,12,12,9,4,10,7,14,4,7,1,10,5,3,3,4,3,3,10,11,5,6,6,10,2,4,7,11
